tweet_text,tweet_id,user_name,user_screen_name,user_location,user_description,user_follower_count,user_friends_count,user_listed_count,user_statuses_count,user_favourites_count,user_verified,user_default_profile_image,user_default_profile,user_protected,user_created_at
b'@TajinderBagga \\u0905\\u0930\\u094d\\u0925\\u093e\\u0925 #leftist_are_terrorists',b'1219810357637550081',b'DesiKiwi \\U0001f1ee\\U0001f1f3 \\U0001f1f3\\U0001f1ff',b'NamasteKiaOra',b'New Zealand',"b'Proud Hindu, RTs/follows are not endorsements. \\n| \\u092e\\u0902\\u0926\\u093f\\u0930\\u0935\\u0939\\u0940\\u0902\\u092c\\u0928\\u0947\\u0917\\u093e |'",b'1696',b'1142',b'10',b'22795',b'33249',b'False',b'False',b'False',b'False',b'2009-10-04 16:31:32'
b'85% students have enrolled despite of priest by #Leftist at #JNU now judge your self these #leftist_are_terrorists\\u2026 https://t.co/nEPzR5ED0m',b'1219717016594108419',b'Anand Singh',b'anandavnt',"b'Lagos, Nigeria'",b'',b'182',b'933',b'0',b'737',b'361',b'False',b'False',b'True',b'False',b'2010-10-14 21:53:44'
b'See #JNU truth. #leftist_are_terrorists #LEFTISTS_ARE_CANCER https://t.co/zlwsQHyNXi',b'1219658335760326657',b'Anand Singh',b'anandavnt',"b'Lagos, Nigeria'",b'',b'182',b'933',b'0',b'737',b'361',b'False',b'False',b'True',b'False',b'2010-10-14 21:53:44'
b'Wow. So not a Christian and so idiotic. This dude needs to move to another country. #LiberalismIsAMentalDisorder\\u2026 https://t.co/Qyf4esvpo2',b'1219635949870686209',b'jyoungusmc',b'jyoungusmc',"b'Virginia, USA'","b'\\u271d\\ufe0fProud \\U0001f1fa\\U0001f1f8, Frmr Educator & Athlete, USMC Retired, SAR, USMC Engr Assoc, VFW, Am Leg, Masters Natl Strategy, Color Blind, LSU Tigers, Married\\U0001f60d'",b'3957',b'5003',b'0',b'4318',b'1740',b'False',b'False',b'True',b'False',b'2019-02-06 16:27:25'
"b'@vikasgautamjnu #LEFTISTS_ARE_CANCER \\n#leftist_are_terrorists \\nWe all know this will never going to be changed, it\\u2026 https://t.co/5XovO3QJsw'",b'1219623956354756609',b'Durgesh',b'newqclear',b'Manuwad ',b'\\u0939\\u092e \\u0932\\u0921\\u093c\\u0924\\u0947 \\u0930\\u0939\\u0947 \\u0917\\u090f \\u091c\\u093e\\u0924\\u093f \\u092a\\u0930..\\n\\u0935\\u094b \\u0916\\u0902\\u091c\\u093c\\u0930 \\u092e\\u093e\\u0930 \\u0917\\u090f \\u091b\\u093e\\u0924\\u0940 \\u092a\\u0930..\\n\\nSickularism is injurious to Sanatan Dharama\\n\\u0938\\u0947\\u0915\\u0941\\u0932\\u0930\\u093f\\u091c\\u094d\\u092e \\u0915\\u0940 \\u092e\\u0949\\u092f \\u0915\\u093e \\u092d\\u094b\\u0938ra \\U0001f447\\n\\u23e9 https://t.co/ev8cC1a5Jn?amp=1',b'175',b'246',b'0',b'17946',b'53699',b'False',b'False',b'True',b'False',b'2014-05-26 17:52:16'
b'@ashutosh83B @kanhaiyakumar @anubhavsinha @kunalkamra88 @SanjayAzadSln @AamAadmiParty @manojkjhadu \\u0905\\u0930\\u0947 \\u0915\\u0932\\u094d\\u0932\\u0942 \\u091a\\u093e\\u091a\\u093e 8\\u2026 https://t.co/E3weknIlTS',b'1219592578510647302',b'RK SUMAN',b'RKSUMAN16992623',b'',b'#born to express my self!!!',b'107',b'181',b'0',b'942',b'16217',b'False',b'False',b'True',b'False',b'2019-07-12 02:59:16'
"b'@ZeeNewsHindi @MaheshNBhatt @aliaa08 @Soni_Razdan \\u0905\\u092b\\u091c\\u0932 \\u0939\\u092e \\u0936\\u0930\\u094d\\u092e\\u093f\\u0902\\u0926\\u093e \\u0939\\u0948 \\u0924\\u0947\\u0930\\u0947 \\u091a\\u093e\\u0939\\u0928\\u0947 \\u0935\\u093e\\u0932\\u0947 \\u091c\\u093f\\u0902\\u0926\\u093e \\u0939\\u0948\\u0902 , #boycottbollywood\\u2026 https://t.co/TrR3SOcUds'",b'1219583531543945217',b'\\u0935\\u093f\\u091c\\u092f \\u0915\\u0941\\u092e\\u093e\\u0930',b'VIJAYKUMAR2088',b'',"b'\\u0939\\u093f\\u0902\\u0926\\u0940 \\u0939\\u0942\\u0902 , \\u0939\\u093f\\u0902\\u0926\\u0942 \\u0915\\u0940 \\u092c\\u093e\\u0924 \\u0915\\u0930\\u0924\\u093e \\u0939\\u0942\\u0902 , \\u0938\\u092c\\u0938\\u0947 \\u092a\\u0939\\u0932\\u0947 \\u0930\\u093e\\u0937\\u094d\\u091f\\u094d\\u0930 \\u0915\\u093e \\u0938\\u092e\\u094d\\u092e\\u093e\\u0928 \\u0915\\u0930\\u0924\\u093e \\u0939\\u0942\\u0902 \\u0964 \\U0001f449 \\u0938\\u0928\\u093e\\u0924\\u0928 \\u0927\\u0930\\u094d\\u092e \\U0001f448 \\u0938\\u0930\\u094d\\u0935\\u0936\\u094d\\u0930\\u0947\\u0937\\u094d\\u0920'",b'28',b'15',b'0',b'1133',b'2777',b'False',b'False',b'True',b'False',b'2019-11-26 12:46:10'
b'@ABVPVoice @OpIndia_in @ReallySwara any word?? \\n\\n#leftist_are_terrorists',b'1219519887275520002',b'Bibhuti Jha',b'jhabibhuti6',"b'Delhi, india'","b'Entrepreneur, IT Consultants , Nationalists. proud Hindu.  Proud of followed by Union Minister Shree @SuPriyoBabul'",b'250',b'1157',b'1',b'4939',b'13027',b'False',b'False',b'True',b'False',b'2012-02-05 09:35:31'
b'The Death Toll Of Communism\\nChina - 65 Million\\nUSSR - 20 Million\\nCambodia - 2 Million\\nAfrica - 1.7 Million\\nAfghanis\\u2026 https://t.co/8Gcje5q4E7',b'1219487967581884417',b'Harish Pandalam',b'jsharish',b'',b'',b'92',b'141',b'0',b'1137',b'20',b'False',b'False',b'True',b'False',b'2009-10-29 06:46:38'
b'@AyannaPressley @moms4housing So you stand with criminals who BROKE INTO A HOUSE AND OCCUPIED IT?  You are a credit\\u2026 https://t.co/weRMCkb06f',b'1219474938798772224',b'CommonCensor',b'commoncensor1',b'',"b'Human Being with Female Penis & Testicles, non-binary beard, and deep blue Male eyes. I don\\u2019t own any pronouns because that is nonsense'",b'7',b'100',b'0',b'679',b'230',b'False',b'False',b'True',b'False',b'2019-09-25 12:25:38'
