b'@missFaroo Shy decent Muslim girls are a rare breed these days',b'1232079110173872128',b'\\u0623\\u0646\\u0648\\u0627\\u0631',b'AuroraSkiesGh',b'Nirvana',b'\\u201cThere is no greater grief in misery than to turn our thoughts back to happier times.* Dante.\\u201d  Muslim. ~20\\u2019s.I have a love and hate relationship with Fifa',b'78',b'90',b'0',b'419',b'1021',b'False',b'False',b'False',b'False',b'2012-08-20 11:49:06'
b'Eating pork as a Muslim is deep Cos it\\u2019s one of them sins where there\\u2019s literally no reason to do it just out here\\u2026 https://t.co/4JghweKUrY',b'1232079107963457536',b'\\U0001f643',b'SahraSae',b'',b'MIND YOUR BUSINESS',b'1081',b'965',b'1',b'15842',b'16092',b'False',b'False',b'True',b'False',b'2015-07-04 18:16:26'
b'@tedcruz Speaking of anti Muslim bigots....pretty much the whole GOP.',b'1232079102141747202',b'VinnieJ',b'VinnieJ06',b'IL-14',b'',b'452',b'505',b'9',b'15072',b'16096',b'False',b'False',b'False',b'False',b'2011-08-17 12:09:38'
b'A coworker is Muslim so I asked if I could make her an ugly prayer rug.  She was very excited and gave me a hug.\\u2026 https://t.co/Vuhv9mMWbm',b'1232079098710806529',b'Dana Marie',b'greenduckies',b'Minnesota',"b'Cat mom. I love to read, huge fan of Supernatural, Star Trek TNG, and many other shows. Extremely fond of exclamation points and the terrabang (?!). she/her'",b'43',b'97',b'0',b'2840',b'15009',b'False',b'False',b'False',b'False',b'2007-06-29 21:10:13'
b'@Malahay48802284 @eko_kuntadhi Berita hoax masih dipercaya? Media apaan tuh? Portal Muslim Cyber? \\U0001f602 \\U0001f602 \\U0001f602 \\U0001f602 \\U0001f602 \\U0001f602 \\U0001f602 \\U0001f602 \\U0001f602 \\U0001f602 \\U0001f602 \\U0001f602 \\U0001f602 \\U0001f602 \\U0001f602 \\U0001f602 \\U0001f602 \\U0001f602',b'1232079093203517441',b'Topaz Aditia',b'topazaditia',"b'Jakarta, Indonesia'",b'Songwriter | Slide Guitar | Gudang Garam | Kopi sachet',b'2443',b'410',b'24',b'32059',b'511',b'False',b'False',b'True',b'False',b'2012-12-07 21:37:37'
"b""Don't know American be fooled this SOB in this picture is our enemy Canada is quickly becoming our enemy Muslim run\\u2026 https://t.co/Fx98RVX143""",b'1232079092775882752',b'Free Bird',b'FreeBir21715398',b'',b'SEE ALL( Bama) #maga TRUMP  NRA lifer#KAG screw a Democrat whenel you can\\U0001f44c always lead! (bacon) trump 45 followed by Charlie Kirk Ryan Fournier Greg rubini',b'4746',b'5201',b'3',b'30658',b'30726',b'False',b'False',b'True',b'False',b'2017-08-27 14:08:01'
"b'@tagarabak @adekdedees @yettiaka @mahyeldi_sp @Radja_Nusantara @Zukrilzaed udah salah maksa ni orang, maaf mungkin\\u2026 https://t.co/P2vXiZLQkr'",b'1232079091072790528',b'Mat Ali',b'Mat_Ali_',b'',"b'kalau ada CEBONG insyaf mampus aja lu, goblok begok, gak tau malu dan semua caci maki buat lu.\\nanjing lu'",b'1079',b'716',b'1',b'6405',b'2530',b'False',b'False',b'True',b'False',b'2018-05-29 13:18:50'
b'@SanjeevSanskrit @s_hindhsindh LoL isnt it always like this. Showing some isolated cases of a Muslim guy being thra\\u2026 https://t.co/u7NuETEQ0S',b'1232079085498699776',b'vic_iam_',b'viciam3',b'',b'',b'3',b'102',b'0',b'170',b'150',b'False',b'True',b'True',b'False',b'2019-12-30 16:22:24'
"b'@SamNumba4 nah but I stopped March 2018, my muslim coworker convinced me \\U0001f62d\\U0001f62d'",b'1232079073846996992',b'aneshia',b'adkg___',"b'Beverly, NJ'",b'kas\\u2764\\ufe0f | no pain no gain',b'127',b'103',b'1',b'10681',b'21811',b'False',b'False',b'True',b'False',b'2018-09-28 18:16:44'
"b'@tedcruz Ted you got played \\U0001f926\\u200d\\u2640\\ufe0f\\U0001f602 Easily triggering conservatives, Right wing bloggers, anti Muslim bigots, tinfoil\\u2026 https://t.co/GhySkBRYb1'",b'1232079068969013248',b'RAC-Anti-Trump Lt. Col. Vindman is a Hero',b'RetroVintage4Me',"b'Ohio, USA'",b'#ImpeachedForever\\n#IMPOTUS\\n#EqualityFewerLabels #UniteTheChildren #VoteBlueNoMatterWho',b'5066',b'5481',b'15',b'21681',b'43303',b'False',b'False',b'False',b'False',b'2016-02-20 09:51:42'
b'@Humera_Healer A very #sad picture of Indian Muslim https://t.co/HRehlTk5ss',b'1232079064132968449',b'Allah Bakhsh\\U0001f1f5\\U0001f1f0',b'AliKhan71578559',b'Pakistan',b'Learner \\u263a| Bookaholic\\U0001f4da| Pakistani\\u2764|\\nParagon\\U0001f609|',b'253',b'241',b'0',b'350',b'1600',b'False',b'False',b'True',b'False',b'2018-02-16 21:48:08'
