"b'\\u0926\\u093f\\u0932\\u094d\\u200d\\u0932\\u0940 \\u092e\\u0947\\u0902 \\u092d\\u0921\\u093c\\u0915\\u0940 \\u0939\\u093f\\u0902\\u0938\\u093e, \\u092a\\u0947\\u091f\\u094d\\u0930\\u094b\\u0932 \\u092a\\u0902\\u092a \\u092b\\u0942\\u0902\\u0915\\u093e, 1 \\u092a\\u0941\\u0932\\u093f\\u0938\\u0915\\u0930\\u094d\\u092e\\u0940 \\u0915\\u0940 \\u092e\\u094c\\u0924 \\u0907\\u0938 \\u0918\\u091f\\u0928\\u093e \\u0914\\u0930 \\u0907\\u0938 \\u0926\\u0902\\u0917\\u0947 \\u0915\\u093e \\u091c\\u093f\\u092e\\u094d\\u092e\\u0947\\u0926\\u093e\\u0930 \\u0938\\u093f\\u0930\\u094d\\u092b \\u0914\\u0930 \\u0938\\u093f\\u0930\\u094d\\u092b \\u0915\\u092a\\u093f\\u0932\\u2026 https://t.co/4PiRzDYuyV'",b'1231898648793014272',b'\\u0917\\u094c\\u0930\\u0935 \\u091c\\u093e\\u091f\\u0935 \\u092e\\u0940\\u0921\\u093f\\u092f\\u093e \\u092a\\u094d\\u0930\\u092d\\u093e\\u0930\\u0940',b'iamvidrhoi',b'',b'I am supporter of Bahujan Samaj party',b'13',b'53',b'0',b'25',b'223',b'False',b'False',b'True',b'False',b'2020-02-21 10:58:54'
b'Head Constable @DelhiPolice Ratan Lal dies after being greviously injured in violence #CAAProtest',b'1231898543662694400',b'Payal Mehta/\\u0aaa\\u0abe\\u0aaf\\u0ab2 \\u0aae\\u0ac7\\u0ab9\\u0aa4\\u0abe/ \\u092a\\u093e\\u092f\\u0932 \\u092e\\u0947\\u0939\\u0924\\u093e/   \\u09aa\\u09be\\u09af\\u09c7\\u09b2 \\u09ae\\u09c7\\u09b9\\u09a4\\u09be',b'payalmehta100',"b'Noida, India'",b'Spl Correspondent at @CNNNEWS18\\nEX: @REPUBLIC @NEWSX\\n..views are Personal & RTs are not endorsement.\\nMy page link for all updates\\nhttps://t.co/rUpuWs5dNX\\u2026',b'9481',b'1589',b'73',b'27876',b'5496',b'True',b'False',b'False',b'False',b'2010-01-13 12:54:31'
"b""UP \\u0915\\u0947 \\u092a\\u0942\\u0930\\u094d\\u0935 \\u0930\\u093e\\u091c\\u094d\\u092f\\u092a\\u093e\\u0932 \\u092c\\u094b\\u0932\\u0947- \\u0939\\u093f\\u0902\\u0926\\u0941\\u0938\\u094d\\u0924\\u093e\\u0928 \\u092e\\u0947\\u0902 \\u092e\\u0941\\u0938\\u0932\\u092e\\u093e\\u0928\\u094b\\u0902 \\u0915\\u094b \\u0936\\u093f\\u0915\\u093e\\u0930 \\u092c\\u0928\\u093e\\u092f\\u093e \\u091c\\u093e \\u0930\\u0939\\u093e \\u0939\\u0948. CAA \\u0935\\u093f\\u0930\\u094b\\u0927\\u0940 \\u092a\\u094d\\u0930\\u0926\\u0930\\u094d\\u0936\\u0928\\u094b\\u0902 \\u092e\\u0947\\u0902 '\\u092a\\u093e\\u0915\\u093f\\u0938\\u094d\\u0924\\u093e\\u0928\\u2026 https://t.co/dmVfnQrO6m""",b'1231898232516567040',"b""Team Lion's""",b'teamlions61',b'',"b'Non-Governmental Organization\\nUttar Pradesh, Azamgarh'",b'106',b'188',b'0',b'101',b'578',b'False',b'False',b'True',b'False',b'2020-02-02 16:17:02'
"b'Northeast Delhi violence: DCP Shahdara Amit Sharma injured during clashes, hospitalised. (PTI)\\n#CAAProtest\\u2026 https://t.co/AJyiiZxEqG'",b'1231898221397495808',b'Janta Ka Reporter',b'JantaKaReporter',b'',b'Leading the media revolution in India! Send your write ups to ireport@jantakareporter.com',b'156452',b'265',b'329',b'88917',b'946',b'True',b'False',b'False',b'False',b'2015-02-01 17:34:18'
b'@DelhiPolice ab ye sb kuchh jyada hi ho rha hai ye koi protests nhi hai\\U0001f44d\\nYe #Islamicterrorism hai.. stop it right n\\u2026 https://t.co/M9J13uDKc7',b'1231898160038965249',b'\\u039c\\u03b1\\u03c5\\u0280\\u03c8\\u03b1\\U0001f6a9',b'satrohanmaurya',b'humanity',b'INDIAN\\U0001f1ee\\U0001f1f3 \\nFarmer | \\u091c\\u092f \\u092e\\u093e\\u0924\\u093e\\U0001f531 \\u0915\\u0947 \\u092d\\u0915\\u094d\\u0924 \\U0001f6d0\\u0939\\u0948| memes maker @satrohanmaurya \\U0001f602',b'360',b'356',b'1',b'8172',b'8737',b'False',b'False',b'True',b'False',b'2013-11-12 18:59:04'
b'Jihadi are backs on streets for #CAAProtest  after hiding behind women and children for months at\\u2026 https://t.co/uu3LJ7nYEy',b'1231898084717813760',b'\\u0fd7WOKEZombie \\u0fd7',b'OnyourNot',b'WOKEistan ',"b'when they say fascism, they mean democracy. ___ better Be Dead Than Red__'",b'53',b'323',b'0',b'5597',b'25886',b'False',b'False',b'True',b'False',b'2019-11-22 17:20:32'
"b'\\u0938\\u0940\\u090f\\u090f / \\u0926\\u093f\\u0932\\u094d\\u0932\\u0940 \\u092e\\u0947\\u0902 \\u0926\\u0942\\u0938\\u0930\\u0947 \\u0926\\u093f\\u0928 \\u092d\\u0940 \\u092a\\u0925\\u0930\\u093e\\u0935 \\u0914\\u0930 \\u0906\\u0917\\u091c\\u0928\\u0940; \\u0939\\u0947\\u0921 \\u0915\\u093e\\u0902\\u0938\\u094d\\u091f\\u0947\\u092c\\u0932 \\u0915\\u0940 \\u092e\\u094c\\u0924, \\u0936\\u0939\\u093e\\u0926\\u0930\\u093e \\u0915\\u0947 \\u0921\\u0940\\u0938\\u0940\\u092a\\u0940 \\u0918\\u093e\\u092f\\u0932\\nhttps://t.co/3qxIg9Gc9x\\u2026 https://t.co/M3By1tLnpM'",b'1231897692294402050',b'Dainik Bhaskar',b'DainikBhaskar',b'India',b'Welcome to the Official Twitter page of Worlds Largest read Hindi News Daily',b'846444',b'73',b'976',b'135649',b'5984',b'True',b'False',b'False',b'False',b'2009-08-20 18:04:36'
b'\\u0915\\u094c\\u0928 \\u0939\\u0948\\u0902 \\u0935\\u094b \\u0932\\u094b\\u0917 \\u091c\\u093f\\u0928\\u094d\\u0939\\u0947\\u0902 \\u0926\\u093f\\u0932\\u094d\\u0932\\u0940 \\u092e\\u0947\\u0902 \\u0936\\u093e\\u0902\\u0924\\u093f \\u092a\\u0938\\u0902\\u0926 \\u0928\\u0939\\u0940\\u0902 \\u0939\\u0948 ? #Maujpur #CAA_NRCProtests #Jafrabad  @DelhiPolice #CAAProtest https://t.co/tLII5clC4x',b'1231897676595130368',b'News Tak',b'newstakofficial',"b'Noida, India'","b""Official Handle Of News Tak | An India Today Group's Digital Channel | \\u0916\\u093c\\u092c\\u0930\\u094b\\u0902 \\u0915\\u093e \\u092c\\u093f\\u0932\\u094d\\u0915\\u0941\\u0932 \\u0928\\u092f\\u093e \\u0905\\u0902\\u0926\\u093e\\u091c | \\u0939\\u0930 \\u0930\\u094b\\u091c \\u0924\\u093e\\u091c\\u093e \\u0916\\u092c\\u0930\\u094b\\u0902 \\u0915\\u0947 \\u0932\\u093f\\u090f Follow \\u0915\\u0930\\u0947\\u0902 @Newstakofficial""",b'5562',b'21',b'11',b'4364',b'95',b'False',b'False',b'False',b'False',b'2017-08-08 06:24:20'
"b'\\u092c\\u0932\\u0935\\u093e: #CAA \\u0915\\u0947 \\u0935\\u093f\\u0930\\u094b\\u0927 \\u092e\\u0947\\u0902 \\u091c\\u093e\\u092b\\u0930\\u093e\\u092c\\u093e\\u0926 \\u092e\\u0947\\u0902 \\u0939\\u093f\\u0902\\u0938\\u093e, \\u092b\\u093e\\u092f\\u0930\\u093f\\u0902\\u0917 \\u092e\\u0947\\u0902 \\u0939\\u0947\\u0921 \\u0915\\u0949\\u0928\\u094d\\u0938\\u091f\\u0947\\u092c\\u0932 \\u0915\\u0940 \\u092e\\u094c\\u0924, DCP \\u0918\\u093e\\u092f\\u0932\\n\\u0906\\u0917\\u0947 \\u092a\\u0922\\u093c\\u0947.....\\n#CAAProtest\\u2026 https://t.co/zK8oHtFj8x'",b'1231897650724663296',b'Dainik Bhaskar Hindi',b'DBhaskarHindi',"b'Bhopal, India'","b'Welcome to the Official Twitter page of Dainik Bhaskar Jabalpur-Nagpur Group, Largest Hindi News Paper in the World.'",b'2007',b'221',b'13',b'36173',b'512',b'False',b'False',b'True',b'False',b'2017-05-26 07:35:01'
b'@TajinderBagga This is really really bad news and this is now pure play violence #CAAProtest @AdityaRajKaul',b'1231897464514469890',b'sumitpeer',b'sumitp191',b'',b'Entrepreneur | Political Analyst | Writer | Thought Leader | Speaker & Globe Trotter',b'97',b'101',b'0',b'3104',b'1349',b'False',b'False',b'True',b'False',b'2016-03-04 12:21:34'
"b'\\u0928\\u093e\\u0930\\u094d\\u0925 \\u0908\\u0938\\u094d\\u091f \\u0926\\u093f\\u0932\\u094d\\u0932\\u0940 \\u0938\\u0947 \\u0906 \\u0930\\u0939\\u0940 \\u092f\\u0947 \\u0924\\u0938\\u094d\\u0935\\u0940\\u0930\\u0947\\u0902 \\u092d\\u092f\\u093e\\u0935\\u0939 \\u0939\\u0948,\\n\\u0915\\u093e\\u0928\\u0942\\u0928 \\u0935\\u094d\\u092f\\u0935\\u0938\\u094d\\u0925\\u093e \\u0915\\u0947 \\u092e\\u0941\\u0902\\u0939 \\u092a\\u0930 \\u0924\\u092e\\u093e\\u091a\\u093e \\u0939\\u0948,\\n\\u092a\\u092c\\u094d\\u0932\\u093f\\u0915 \\u0935 \\u092a\\u094d\\u0930\\u093e\\u0907\\u0935\\u0947\\u091f \\u092a\\u094d\\u0930\\u0949\\u092a\\u0930\\u094d\\u091f\\u0940 \\u091c\\u2026 https://t.co/tNdOc7tYU5'",b'1231897392150085632',b'Madhurendra kumar',b'Madhurendra13',b'New delhi',"b'JOURNALIST @NEWSNATIONTV\\n  Follow for updates on Defence and Diplomacy,Strategic Affairs, IR and South Asian issues.                          #IndividualHandle.'",b'2924',b'925',b'11',b'7760',b'14067',b'False',b'False',b'True',b'False',b'2011-09-17 03:22:19'
